id,Frequency_Detuning,Temperature,Laser_Current,Bias_Vottage_of_Slave
1,2.29632,0.02483,0.0073,-19.6798
2,5.22275,0.03387,0.01391,-19.44604
3,6.4421,0.05775,0.02889,-18.75058
4,8.73447,0.08756,0.0355,-18.02007
5,9.56363,0.12655,0.05144,-17.35968
6,10.00259,0.16986,0.06972,-16.47138
7,10.00259,0.21923,0.09208,-15.96878
8,10.83175,0.25957,0.1055,-14.23308
9,14.39224,0.29101,0.11386,-13.15191
10,15.4165,0.31192,0.13953,-12.38049
11,16.05056,0.03522,0.17453,-11.52725
12,18.53802,0.04655,0.21536,-10.71491
13,18.34293,0.07664,0.23695,-9.24804
14,20.19634,0.11212,0.26689,-7.7461
15,21.65955,0.06679,0.29275,-6.65909
16,22.73258,0.09849,0.31686,-5.54286
17,22.73258,0.10389,0.33592,-4.61364
18,24.19579,0.14261,0.35848,-2.913
19,25.22005,0.165,0.37598,-1.75587
20,26.48817,0.15407,0.39931,-0.36497
21,26.48817,0.19603,0.41759,0.64022
22,26.68326,0.20372,0.44423,1.99022
23,27.95138,0.23637,0.45823,2.83762
24,29.4146,0.24784,0.48001,3.91878
25,29.4146,0.28278,0.49751,4.73111
26,26.48817,0.24784,0.48487,5.66033
27,24.19579,0.23367,0.45745,6.70058
28,24.19579,0.17863,0.4275,7.78175
29,23.95193,0.11589,0.39834,8.24928
30,23.12277,0.13721,0.37598,8.97979
31,22.73258,0.18618,0.35011,9.44148
32,19.61105,0.21681,0.30267,9.71615
33,18.97699,0.2048,0.26942,-19.60383
34,16.87971,0.23043,0.23772,-19.1363
35,16.24565,0.24676,0.21206,-18.24799
36,14.78243,0.26753,0.16286,-17.62851
37,13.31922,0.27509,0.13214,-16.27852
38,11.66091,0.28332,0.09889,-15.08047
39,9.36853,0.28062,0.06642,-13.65451
40,6.88107,0.26254,0.0355,-12.69023
41,8.10041,0.1306,0.04386,-11.52725
42,8.53938,0.12237,0.06136,-10.44608
43,11.856,0.08594,0.08878,-8.97921
44,13.95328,0.04992,0.11386,-8.44155
45,13.95328,0.04169,0.16286,-7.2435
46,17.51377,0.05802,0.17044,-6.12143
47,12.92903,0.07556,0.15042,-5.08117
48,10.19769,0.13721,0.13467,-3.9591
49,10.00259,0.14692,0.12047,-2.33444
50,12.29497,0.15569,0.12631,-1.1773
51,7.71022,0.16163,0.08547,0.25451
52,6.6372,0.16338,0.05805,1.25386
53,5.22275,0.18794,0.03472,2.4519
54,3.51567,0.19549,0.02053,3.18826
55,12.92903,0.22112,0.12883,4.03566
56,13.12412,0.22719,0.18289,4.73111
57,18.73312,0.25822,0.19281,5.81228
58,14.78243,0.27509,0.19961,6.89344
59,17.07481,0.29155,0.23033,7.47201
60,18.53802,0.29802,0.25367,8.44213
61,18.97699,0.29478,0.291,9.17265
62,21.26936,0.30072,0.32678,9.59927
63,22.92767,0.30679,0.35925,8.05642
64,21.26936,0.30787,0.36431,-0.48185
65,22.73258,0.32096,0.3892,1.68048
66,25.41514,0.3308,0.43081,5.1928
67,25.41514,0.33728,0.4592,6.16292
68,26.87836,0.34011,0.47164,6.43175
69,27.70751,0.34335,0.43256,-3.22274
70,23.56173,0.33674,0.40339,-1.7208
71,20.44021,0.32972,0.3435,-3.72534
72,19.80614,0.31502,0.31861,-1.21821
73,20.8304,0.3215,0.29684,0.25451
74,17.31868,0.3188,0.25853,0.98503
75,20.00124,0.30463,0.24783,2.14216
76,16.24565,0.32527,0.19611,3.41618
77,15.4165,0.3335,0.17783,4.19345
78,15.2214,0.33134,0.15547,5.46747
79,12.09987,0.34281,0.13544,5.97007
80,15.85546,0.31934,0.18872,7.20318
81,12.92903,0.32689,0.11639,8.4772
82,12.92903,0.33188,0.1405,5.27462
83,9.36853,0.33512,0.09636,-0.8325
84,8.53938,0.33782,0.07303,-2.06561
85,12.29497,0.34173,0.13797,-4.49676
86,16.87971,0.31435,0.21945,-4.19287
87,20.44021,0.29047,0.31434,-5.23312
88,22.73258,0.28494,0.3435,-6.08052
89,24.39089,0.26861,0.36936,-7.16168
90,21.02549,0.24082,0.33184,-8.59349
91,21.65955,0.21357,0.35011,-10.41102
92,23.95193,0.20912,0.38259,-11.21751
93,26.87836,0.17917,0.41253,-13.65451
94,27.12223,0.148,0.43412,-15.15645
95,23.75683,0.10767,0.41428,-16.3954
96,26.2443,0.08527,0.44092,-17.66942
97,25.22005,0.09458,0.44909,-18.98435
98,27.31732,0.25391,0.46756,-18.51682
99,28.78054,0.23583,0.47417,-17.82721
100,27.70751,0.22558,0.49498,3.07138
101,26.48817,0.31502,0.48662,2.06619
102,25.22005,0.32473,0.46989,-0.28899
103,24.58599,0.32865,0.42498,0.86814
104,23.36664,0.34227,0.37345,4.26943
105,22.73258,0.34119,0.3785,6.5837
106,20.19634,0.34605,0.32931,-3.72534
107,20.8304,0.33782,0.28031,-2.913
108,18.34293,0.21235,0.27856,-1.21821
109,17.51377,0.19819,0.26359,0.05581
110,17.51377,0.19225,0.24939,1.87333
111,15.2214,0.17256,0.21108,2.99541
112,15.2214,0.16986,0.172,4.3454
113,15.4165,0.10605,0.18367,5.27462
